sno,name,cmprs,p/e,market_cap,div_yldpct,np_qtrrscr,qtr_profit_varpct,sales_qtrrscr,qtr_sales_varpct,rocepct,profit_var_5yrspct,sales_var_3yrspct,profit_var_3yrspct,sales_growth_3y,profit_growth_3y,roce,sales,symbol,debt,promoter_holding,price_1y,price_3y,dma20,dma200,volume_trend,growth_flag,consolidation_flag,volume_flag,sector,sector_strength,ai_reason,ai_score,fundamental_score,growth_score,consolidation_score,volume_score,final_score,rank
23,Cummins India,4615.3,54.93,127936.12,1.12,486.06,4.41,3054.92,-1.33,36.32,22.45,18.97,34.86,18.97,34.86,36.32,3054.92,CUMMINSIND.NS,0.0,50.0,0.5986550503239552,2.0381724928554448,4691.525,4067.1242407226564,1.1791302793260314,True,False,False,Industrial,weak,neutral,0.3,0.3812408223201174,0.16554762903902645,0.4080065679277879,0.6970025251955301,0.36690742084096295,33
67,Indegene,440.65,24.14,10596.75,0.45,102.9,-6.2,942.1,30.77,24.8,67.93,19.48,29.44,19.48,29.44,24.8,942.1,INDGN.NS,0.0,50.0,-0.1421804638929075,-0.20543893903579213,454.15,531.7633758544922,1.0933124442571283,True,False,False,Unknown,neutral,neutral,0.5,0.1697870778267254,0.1397922786403693,0.7769893637524248,0.6462742479232101,0.36589858440157,34
49,L&T Technology,3229.1,26.66,34227.86,1.7,303.1,1.81,2923.5,10.2,28.29,9.04,17.55,10.58,17.55,10.58,28.29,2923.5,LTTS.NS,0.0,50.0,-0.30611330642739387,-0.01910817819784172,3259.589978027344,4107.39048828125,1.296590219874608,False,False,True,Unknown,neutral,no_growth,0.09999999999999998,0.23384728340675473,0.03073856483424257,0.8586382553148078,0.7664349506086658,0.3580577724533786,35
73,Pricol Ltd,533.55,30.6,6502.99,0.37,63.69,53.66,1039.39,63.99,22.87,29.55,20.34,46.3,20.34,46.3,22.87,1039.39,PRICOLLTD.NS,0.0,50.0,0.2479819927815392,1.6566796593658908,549.4324935913086,537.292575378418,0.675482853204634,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.1343612334801762,0.23274234158623588,0.5826638605511782,0.399288579612271,0.3567545917807804,36
112,Affle 3i,1285.7,41.28,18097.18,0.0,119.32,19.06,717.47,19.25,16.82,42.26,27.96,21.31,27.96,21.31,16.82,717.47,AFFLE.NS,0.0,50.0,-0.06197907911326428,0.545473930448102,1352.059991455078,1783.6829998779297,1.079352566333046,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.023311306901615262,0.14162819974821653,0.7370440174277648,0.6380223436721648,0.3488612005630589,37
84,Bosch,30390.0,38.79,89631.17,1.68,532.1,7.9,4885.6,9.4,21.11,12.76,15.36,18.32,15.36,18.32,21.11,4885.6,BOSCHLTD.NS,0.0,50.0,0.09422133552925027,0.6810230474817658,31856.25,36576.81397460937,1.1184442723614034,True,True,False,Auto Ancillary,weak,undervalued_growth,0.8,0.10205580029368573,0.0598510281158204,0.6592463624858458,0.6611300683177742,0.33075480506958493,38
42,Force Motors,21585.0,29.65,28440.96,0.19,406.15,120.68,2128.56,12.65,29.99,46.83,35.56,99.97,35.56,99.97,29.99,2128.56,FORCEMOT.NS,0.0,50.0,1.4178416329371322,17.338698613684677,21672.9,18525.18669433594,1.2281947318581419,True,False,True,Unknown,neutral,already_moved,0.3,0.2650513950073421,0.5941040704993706,0.0,0.7260052977574933,0.32744190187856026,39
56,Vikram Solar,192.58,15.35,6977.75,0.0,98.15,436.33,1105.95,7.79,26.45,46.46,25.54,61.62,25.54,61.62,26.45,1105.95,VIKRAMSOLR.NS,0.0,50.0,0.0,0.0,,,0.0,True,False,False,Unknown,neutral,no_accumulation,0.3,0.20007342143906018,0.3403797733948804,0.7061745282429439,0.0,0.3193402289031889,40
44,Schaeffler India,4186.5,54.7,65436.53,0.84,327.96,31.54,2643.06,26.93,29.79,32.68,11.01,11.26,11.01,11.26,29.79,2643.06,SCHAEFFLER.NS,0.0,50.0,0.10130566662377838,0.4601437192683149,4091.57001953125,3974.4025048828125,1.1567972738468826,False,True,False,Unknown,neutral,no_growth,0.09999999999999998,0.26138032305433184,0.0,0.6557179189330692,0.6838011330448088,0.3140758263128275,41
54,HBL Engineering,659.5,22.36,18281.01,0.3,220.1,242.37,874.04,93.99,27.33,64.63,16.75,47.99,16.75,47.99,27.33,874.04,HBLENGINE.NS,0.0,50.0,0.400700420316104,-0.03926314946349285,665.2999969482422,773.8960986328125,0.7379880603540974,True,False,False,Unknown,neutral,no_accumulation,0.3,0.21622613803230536,0.22277591271506514,0.5066004547286131,0.436236394442323,0.30598936814589006,42
74,P I Industries,2909.5,32.34,44142.39,0.55,311.3,-39.61,1375.7,-27.63,22.86,29.53,14.61,25.37,14.61,25.37,22.86,1375.7,PIIND.NS,0.0,50.0,-0.183519573199047,-0.028411836948907365,2965.485009765625,3541.1941455078127,1.0522884803362285,False,False,False,Unknown,neutral,no_growth,0.09999999999999998,0.13417767988252566,0.09289760805707095,0.7975788466213772,0.6220243351292302,0.30396879640162294,43
25,Aditya AMC,944.65,26.8,27282.08,2.54,269.52,21.01,478.08,7.41,35.51,13.48,12.15,11.42,12.15,11.42,35.51,478.08,ABCAPITAL.NS,0.0,50.0,0.6480702509631535,1.0941780821917808,321.4375,311.34109992980956,1.1557032783961076,False,False,False,Unknown,neutral,no_growth,0.09999999999999998,0.36637298091042575,0.006819135543432652,0.38339468237669994,0.6831544550609491,0.30290740145429174,44
53,Fiem Industries,2026.8,22.18,5334.47,1.48,63.37,34.77,690.07,16.35,27.8,21.89,15.5,28.97,15.5,28.97,27.8,690.07,FIEMIND.NS,0.0,50.0,0.45605199890287307,1.7279201204355141,2074.37001953125,2096.6684704589843,0.958385597114855,True,False,False,Unknown,neutral,no_accumulation,0.3,0.22485315712187956,0.11644985312631137,0.47903187867048075,0.5665168582405452,0.2956892950321648,45
60,Gabriel India,862.95,50.29,12395.75,0.54,65.64,41.0,1071.57,15.95,26.14,19.99,16.04,32.74,16.04,32.74,26.14,1071.57,GABRIEL.NS,0.0,50.0,0.4029871894959194,5.305838057898371,888.5949981689453,1030.889451599121,0.8077571571641143,True,False,False,Unknown,neutral,no_accumulation,0.3,0.19438325991189426,0.1390579101972304,0.5054614994960661,0.4774780091390372,0.28440498681732074,46
82,KEI Industries,4188.0,46.52,40037.53,0.11,234.86,42.5,2954.7,19.51,21.29,22.11,19.35,22.78,19.35,22.78,21.29,2954.7,KEI.NS,0.0,50.0,0.42853093211581084,1.4694500669227404,4493.475,4126.8948583984375,1.2327425654865518,True,False,True,Unknown,neutral,neutral,0.5,0.10535976505139497,0.10417540914813263,0.49273910513613073,0.7286935940202123,0.28439616827943187,47
40,Hero Motocorp,5275.5,19.08,105557.36,3.13,1275.15,22.49,12486.82,21.71,30.34,7.08,11.46,23.85,11.46,23.85,30.34,12486.82,HEROMOTOCO.NS,0.0,50.0,0.4666648657447525,1.4602629009263652,5415.725,5200.875173339844,0.7947914143162331,False,False,False,Auto,improving,no_growth,0.19999999999999998,0.2714757709251101,0.06840117498950904,0.47374600184103255,0.46981375382776275,0.28400111911892867,48
75,Dr Reddy's Labs,1298.9,19.47,108413.12,0.62,1189.6,-14.42,8753.4,4.44,22.69,22.28,14.86,38.02,14.86,38.02,22.69,8753.4,DRREDDY.NS,0.0,50.0,0.07472290767710832,0.4575515331020199,1293.5550109863282,1263.443695678711,0.9813878306907786,False,True,False,Pharma,weak,no_growth,0.0,0.13105726872246695,0.16056441460344106,0.6689578089338116,0.5801138416855977,0.2763387363649971,49
64,Shriram Pistons,3125.0,24.52,13765.57,0.32,125.7,17.91,1023.2,20.67,25.7,47.8,19.8,45.66,19.8,45.66,25.7,1023.2,SHRIPISTON.NS,0.0,50.0,0.6570062105646879,5.120260536316373,3001.95,2738.7195251464846,0.7886399933600093,True,False,False,Unknown,neutral,already_moved,0.3,0.1863069016152716,0.2265526647083508,0.37894401108209325,0.46617755177680753,0.2722398509818782,50
41,Hexaware Tech.,439.45,18.5,26851.1,2.62,291.6,14.35,3478.2,10.27,30.0,18.5,13.44,18.07,13.44,18.07,30.0,3478.2,HEXAWARE.NS,0.0,50.0,0.0,0.0,,,0.0,False,False,False,Unknown,neutral,no_growth,0.09999999999999998,0.26523494860499264,0.04846831724716743,0.7061745282429439,0.0,0.26702254854001933,51
87,Cochin Shipyard,1341.5,49.61,35292.29,0.73,137.69,-25.29,1165.37,8.93,20.35,5.79,12.38,12.84,12.38,12.84,20.35,1165.37,COCHINSHIP.NS,0.0,50.0,-0.12089521652928126,5.238678060537386,1397.729998779297,1700.761166381836,1.0249263545159408,False,True,False,Unknown,neutral,no_growth,0.09999999999999998,0.0881057268722467,0.015474192194712544,0.7663879685286117,0.6058501505409426,0.26219973794765783,52
88,Sun Pharma.Inds.,1777.1,35.13,426385.82,0.9,3381.17,18.73,15520.54,13.49,20.21,23.78,10.8,20.18,10.8,20.18,20.21,15520.54,SUNPHARMA.NS,0.0,50.0,0.014958531071682435,0.8758538303907253,1783.035009765625,1686.695026245117,1.138655059788316,False,True,False,Pharma,weak,no_growth,0.0,0.0855359765051395,0.04568820814099875,0.6987242366325401,0.6730769838704814,0.2504045779438117,53
39,TD Power Systems,863.25,61.41,13485.25,0.14,56.32,25.35,442.68,26.36,30.35,55.63,17.05,39.23,17.05,39.23,30.35,442.68,TDPOWERSYS.NS,0.0,50.0,1.1677894609348263,4.254017351956914,846.5124969482422,654.5782839965821,0.8204257112344332,True,False,False,Unknown,neutral,already_moved,0.3,0.27165932452276065,0.17839907679395722,0.12454174746869033,0.4849665914716319,0.24774855380879698,54
119,Patanjali Foods,474.6,30.75,51641.43,0.7,593.76,68.21,10483.71,16.53,15.55,41.57,12.16,17.37,12.16,17.37,15.55,10483.71,PATANJALI.NS,0.0,50.0,-0.18502878076765072,0.63653423151525,489.9824981689453,561.1657455444335,1.1587618224683909,False,True,False,Unknown,neutral,no_growth,0.09999999999999998,0.0,0.03808224926563157,0.7983305271462124,0.6849624087529039,0.24577879615765924,55
85,Timken India,3163.3,55.29,23793.94,1.14,49.85,-32.92,764.38,13.84,20.93,12.63,12.63,10.87,12.63,10.87,20.93,764.38,TIMKEN.NS,0.0,50.0,0.24092513596013876,0.21619717056136367,3325.869982910156,3123.2796069335936,1.0330705348641027,False,True,False,Industrial,weak,no_growth,0.0,0.09875183553597648,0.0064519513218632,0.5861786201836818,0.6106643041318089,0.21909327892868052,56
95,R R Kabel,1391.4,33.66,15736.88,0.43,118.25,93.1,2535.86,42.29,19.77,20.06,20.21,13.06,20.21,13.06,19.77,2535.86,RRKABEL.NS,0.0,50.0,0.4411732312705545,0.41573070782834765,1429.7549926757813,1360.7162268066406,0.8131043687048818,False,False,False,Electrical,improving,no_growth,0.19999999999999998,0.07745961820851686,0.05770037767519935,0.4864424430589894,0.4806388303069915,0.20787629446094366,57
